Type,State,QuestionID,Category,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,CorrectIndex,Explanation
Universal,ALL,U-001,roadSigns,What does a red octagonal sign mean?,Yield to other traffic,Stop completely before proceeding,Slow down and proceed with caution,Road closed ahead,B,1,A red octagonal (8-sided) sign always means STOP. You must come to a complete stop at the stop line or before entering the crosswalk or intersection.
Universal,ALL,U-002,roadSigns,What does a triangular sign pointing downward indicate?,Stop ahead,No passing zone,Yield the right-of-way,Merge ahead,C,2,A triangular sign pointing downward means YIELD. You must slow down and give the right-of-way to traffic in the intersection or roadway you are entering.
Universal,ALL,U-003,roadSigns,What do yellow diamond-shaped signs indicate?,Regulatory instructions,Warning of hazards ahead,Guide information,Service locations,B,1,"Yellow diamond-shaped signs are warning signs. They alert you to possible hazards ahead, such as curves, intersections, or road conditions."
Universal,ALL,U-004,roadSigns,What does a round sign indicate?,Railroad crossing ahead,No passing zone,School zone,Stop ahead,A,0,Round signs indicate a railroad crossing ahead. Be prepared to stop if a train is approaching.
Universal,ALL,U-005,roadSigns,What does a pentagon (5-sided) sign indicate?,Work zone ahead,School zone or school crossing,Yield ahead,No passing zone,B,1,Pentagon-shaped signs indicate a school zone or school crossing. Slow down and watch for children.
Universal,ALL,U-006,roadSigns,What color are regulatory signs that tell you what you must or must not do?,Yellow with black text,Orange with black text,White with black or red text,Green with white text,C,2,"Regulatory signs are typically white with black or red markings. They inform you of laws you must obey, such as speed limits and turn restrictions."
Universal,ALL,U-007,roadSigns,What do orange signs indicate?,School zones,Construction or work zones,Railroad crossings,Hospital ahead,B,1,Orange signs indicate construction or maintenance work zones. Slow down and be prepared for workers and equipment on the road.
Universal,ALL,U-008,roadSigns,What do green signs typically indicate?,Warning of hazards,Regulatory instructions,Guide and distance information,Work zones,C,2,"Green signs are guide signs. They provide information about destinations, distances, and route numbers."
Universal,ALL,U-009,roadSigns,What do blue signs indicate?,Regulatory instructions,Warning of hazards,Motorist services like food and gas,Work zones,C,2,"Blue signs indicate motorist services such as gas stations, food, lodging, and hospitals."
Universal,ALL,U-010,roadSigns,What does a sign with a red circle and slash through a symbol mean?,That action is required,That action is prohibited,Caution advised,Information only,B,1,A red circle with a diagonal slash through a symbol means that action is prohibited. For example a U-turn symbol with a slash means no U-turns allowed.
