QuestionID,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
AL-012,Who is exempt from the Graduated Driver License requirements in Alabama?,Drivers who are currently employed full-time,Drivers who are married and head of household,Drivers who have completed driver education,Students who maintain a GPA of 3.0 or higher,B
AL-014,Which actions are prohibited under Alabama's hands-free driving law?,Holding phone plus texting plus videos plus recording,Making any phone calls while vehicle is moving now,Sending any text messages while vehicle is moving,Only watching videos while vehicle is in motion,A
AL-022,What does implied consent mean under Alabama law?,You may refuse chemical tests with no penalty,You must allow searches of your motor vehicle,You consent to chemical testing if DUI arrested,You agree to follow all traffic laws in state,C
AL-023,What happens if you refuse a chemical test when arrested for DUI in Alabama?,No penalty applies unless convicted of a DUI,You receive only a fine with no suspension,The DUI case against you will be dismissed,License is automatically suspended for 90 days,D
AL-024,Can you be charged with DUI in Alabama even if you were not driving?,Yes if in physical control of the vehicle,No you must be actively driving at the time,Only if engine was running at that moment,Only if you were in a private parking lot,A
AL-025,What factors can double the penalties for a DUI conviction in Alabama?,Driving at night or in bad weather conditions,BAC of 0.15% or higher or child under 14 present,Being charged with a DUI for the first time,Driving on highway or interstate at the time,B
AL-026,What is required to regain driving privileges after a DUI conviction in Alabama?,Only paying all required fines and court costs,Retaking the written portion of driving test,Substance abuse program and possible interlock,Waiting one year with a clean driving record,C
AL-030,What is the purpose of liability insurance in Alabama?,To cover damage done to your own vehicle,To cover theft or vandalism of your car,To cover only your own medical expenses,To cover claims if you cause an accident,D
AL-031,What must you do when approaching a stopped emergency vehicle with flashing lights in Alabama?,Move over to another lane or slow down,Slow down but remain in your current lane,Come to a complete stop behind the vehicle,Continue driving at your normal speed,A
AL-032,When are drivers required to use their headlights in Alabama?,Only during the hours between sunset and sunrise,Only when it is raining or during bad weather,Only when driving on highways and interstates,Sunset to sunrise or visibility under 500 feet,D
AL-039,What is the penalty for leaving the scene of an accident in Alabama?,A fine with no impact on driving record,A warning is issued for the first offense,Misdemeanor or felony plus license suspension,Points are added to your driving record,C
AL-040,When are you required to report an accident to law enforcement in Alabama?,Only if any person involved was injured,If there are injuries or death or major damage,Only if total damage exceeds $500 in value,All accidents must be reported to police,B
AK-007,Who is allowed to be a passenger when you hold a provisional license in Alaska?,Anyone at all regardless of their age,Only your siblings regardless of age,Only licensed drivers over age 21,No one under 21 unless supervised,D
AK-022,What does implied consent mean under Alaska law?,You consent to testing if arrested for DUI,You may refuse all tests without penalty,You must consent to vehicle searches,You agree to obey posted speed limits,A
AK-023,What happens if you refuse a chemical test when arrested for DUI in Alaska?,There is no penalty for the first refusal,You will only receive a monetary fine,Same penalties as DUI including revocation,The case against you will be dismissed,C
AK-031,What must you do when approaching a stopped emergency vehicle with flashing lights in Alaska?,Slow down but remain in your current lane,Move over to another lane or slow down,Come to complete stop behind the vehicle,Continue driving at your normal speed,B
AK-032,When are drivers required to use their headlights in Alaska?,Only during hours between sunset and sunrise,Only when it is snowing or in bad weather,Sunset to sunrise or visibility under 1000 ft,24 hours a day at all times while driving,C
AK-033,Can you be charged with DUI in Alaska even if you were not actually driving?,No you must be actively driving the car,Only if the engine was running at time,Only if you were on a public roadway,Yes if in physical control of vehicle,D
AK-035,How does Alaska treat DUI convictions from other states?,They may count as priors for sentencing,They are not counted or considered,Only federal DUI convictions count,They cause automatic license revocation,A
AK-039,What does Alaska's Good Samaritan law provide for underage drinkers?,There is no such law in the state,No charges if seeking medical help,Law only applies to adults over 21,Law only applies to drug overdoses,B
AK-040,What special license is available for teens in remote Alaska communities?,An enhanced permit with extra restrictions,Off-highway license without standard exam,A commercial license for work purposes,A motorcycle-only license for transport,B
AZ-013,Is Arizona a hands-free state for all drivers?,No only for teen drivers under 18,Only in designated school zones,Only for commercial vehicle drivers,Yes holding a phone is illegal for all,D
AZ-025,What does implied consent mean under Arizona law?,You can refuse all tests without penalty,You consent to BAC testing if arrested,You must consent to vehicle searches,You agree to obey all speed limits,B
AZ-029,What can happen if you drive without insurance in Arizona?,Suspension plus fines plus registration loss,A warning only for the first offense given,Points on your license but no fine given,No penalty at all for the first offense,A
