state,school_name,city,email,website,notes
CA,City Driving School,Bell,citydrivingschool@yahoo.com,https://www.citydrivingschool.org,Independent school in LA area
CA,The Hills Driving School,Canoga Park,info@thehillsdriving.com,https://www.thehillsdriving.com,Small independent in San Fernando Valley
CA,Cantor's Driving School,Canyon Lake,cantorsdrivingschoolca@gmail.com,https://cantorsdrivingschoolca.com,Private one-on-one lessons; 7 days/week
CA,Push Start Driving School,San Mateo,info@pushstartdriving.com,https://pushstartdriving.com,Bay Area independent school
CA,Coastline Academy,Statewide (CA),hello@coastlineacademy.com,https://coastlineacademy.com,Larger independent; multiple CA locations
TX,Ideal Driving School,Dallas,idealdrivingschooldfw@gmail.com,https://idealdrivingschooldallas.com,Independent Dallas-area school
TX,Cazares Driving School,McAllen,,https://cazaresdriving.com,Family-owned; 3 Rio Grande Valley locations
TX,Texas Driving School,Kyle,,https://www.texasdrivingschool.net,Family-owned 30+ years; 7 San Antonio-area locations
TX,Ayala Driving School,San Antonio,,https://www.ayaladriving.com,State-approved teen + adult programs
TX,SafeWay Driving,Houston,,https://www.safewaydriving.com,Multiple Houston-area locations; mid-size chain
FL,Freedom Driving School,Winter Park,freedomdsflorida@gmail.com,https://freedomdriving.us,Independent; active on social media
FL,Best Driving School,Miami,BestDS.info@gmail.com,https://bestdrivingschoolfl.com,Small independent in Miami
FL,Blue Line Driving School,Ocala,info@bluelinedrive.com,https://www.bluelinedrive.com,Serves central Florida
FL,Kendall Traffic and Driving School,Miami,kendalltrafficoffice@yahoo.com,https://kendalltrafficdrivingschool.com,Independent in Kendall/Miami area
FL,DrivingSchoolFL,Orlando,,https://www.drivingschoolfl.com,Independent Orlando-area school
NY,A Club Driving School,Queens,info@aclubdriving.com,https://aclubdriving.com,Independent; Sunnyside Queens location
NY,Fitzgerald's Driving School,North Babylon,info@fitzgeraldsdrivingschool.com,https://fitzgeraldsdrivingschool.com,Long Island independent school
NY,US One Driving School,Manhattan,contactus@usonedrivingschool.com,https://usonedrivingschool.com,Midtown Manhattan; private instruction
NY,Image Driving School (Brooklyn Drives),Brooklyn,brooklyndrives@yahoo.com,https://www.brooklyndrives.com,Independent Brooklyn school; East Flatbush
NY,Raza Driving School,Manhattan,,https://www.razadrivingschool.com,Independent; Washington Heights area
PA,Independence Driving School,Monroe County,info@independencedrivingschool.com,https://www.independencedrivingschool.com,State certified; Poconos area
PA,My Turn To Drive School,Bucks County,director@myturntodriveschool.com,https://www.myturntodriveschool.com,Serves SE Pennsylvania; multiple counties
PA,Driven2Drive,Philadelphia,,https://driven2drive.com,First privately-owned PennDOT testing center; 6 locations
PA,Pennsylvania Driving School,Philadelphia,,https://pennsylvaniadrivingschool.com,Independent Philadelphia school
PA,Rogers Driving School,Pennsylvania,,https://www.rogersdrivingschoolpa.com,Independent PA school
IL,A-Adams School of Driving,Chicago,adamsdrivingsch@aol.com,https://adamsdrivingschool.com,Top-rated Chicago independent school
IL,City Xpress Driving School,Elgin,cityxpressdriving@gmail.com,https://www.cityxpressdriving.com,Independent; NW suburbs
IL,Asia Driving School,Chicago,Asiadriving4teens@gmail.com,https://www.asiadrivingschool.com,Est. 1992; Chicago + Aurora + Naperville
IL,Nova Driving School,Chicago,info@novadriving.com,https://novadriving.com,NSC certified; 10+ Chicagoland locations
IL,Elite Driving School,Naperville,custserv@elite-drivingschool.com,https://www.elite-drivingschool.com,Independent; Naperville + Shorewood
OH,Official Driving School of Ohio,Columbus,ohioinfo@officialdrivingschool.com,https://officialdsohio.com,Serves Columbus + Cincinnati + Cleveland + Dayton
OH,Heights Driving School,Mayfield Village,info@heightsdriving.com,https://heightsdriving.com,NE Ohio; teen + adult + senior programs
OH,Wheeler Driving School,Beavercreek,contact@wheelerdrivingschool.com,https://www.wheelerdrivingschool.com,Locally owned 38+ years
OH,Northwestern Ohio Driver Training,Stryker,nwohdrive@outlook.com,https://www.nwdriverstrainingsch.com,Small rural NW Ohio school
OH,Myers Driving School,Northeast Ohio,,https://www.myersdrivingschool.com,Independent NE Ohio school
GA,Barber's Driving School,Columbus,BarbersDriving@gmail.com,https://www.barbersdrivingschool.com,Est. 1964; longest-running in Columbus GA
GA,West Metro Driving School,Dallas (GA),staff@westmetrodriving.com,https://westmetrodriving.com,Top-rated since 2007; Paulding County
GA,Taggart's Driving School,Tucker,info@TaggartsDrivingSchool.com,https://www.taggartsdrivingschool.com,3 Metro Atlanta locations (Tucker/Marietta/Dunwoody)
GA,Georgia Driving School,Macon,,https://georgiadrivingschool.com,Independent; DUI + risk reduction + standard
GA,Just Drive Right,Atlanta,,https://justdriveright.com,Independent; Northlake area
NC,Carolina Driving School,Monroe,contact@carolinadriving.school,https://carolinadriving.school,Veteran-owned; highest NC certification level
NC,Brunswick Driving School,Supply,BrunswickDrivingSch@gmail.com,https://www.brunswickcountydrivingschool.com,Serves Brunswick + Columbus County + Wilmington
NC,Helms Driving School,Charlotte,helmsdriving@gmail.com,https://helmsdrivingschool.com,Experienced Charlotte independent school
NC,Learning Curves Driving School,Charlotte,Info@learningcurvesdrivingschool.com,,Charlotte-area independent school
NC,East Coast Driving School,Wilmington,,https://eastcoastdriversed.com,Independent; Wilmington area
MI,Metro Driving School,Warren,metrodrivingschool2009@gmail.com,https://metrodrivingschoolinc.com,Independent; Detroit metro area
MI,Century Driving School,Holland,info@centurydriving.com,https://www.centurydriving.com,Grand Rapids + Holland area
MI,A & A Driving School,Livonia,info@aa-driving.com,,Livonia + Shelby Township; also rehab services
MI,Precision Driving School,Okemos,,https://precisiondrivingschoolllc.com,Mid-Michigan premier school
MI,Blair's School of Driving,Coldwater,,https://www.blairsschoolofdriving.com,Small-town independent; Coldwater MI
