Type,State,QuestionID,Category,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,CorrectIndex,Explanation
state,NJ,NJ001,gdlLicensing,What restriction applies to all NJ graduated driver license holders during the permit phase?,Must be accompanied by a licensed adult supervisor,May drive alone during daylight hours,Can transport any number of passengers,Has no nighttime driving restrictions,A,0,During the GDL permit phase in New Jersey drivers must always have a licensed adult supervisor in the vehicle to ensure proper guidance and safety while learning to drive.
state,NJ,NJ002,gdlLicensing,When can a New Jersey GDL probationary driver remove passenger restrictions?,Never until age twenty-one,After one year with probationary license,Only after completing driver education,Only after passing a road test again,B,1,New Jersey probationary drivers can remove passenger restrictions after completing one year with the probationary license while maintaining a clean driving record.
state,NJ,NJ003,cellPhone,What is the primary reason New Jersey prohibits handheld cell phone use while driving?,To reduce vehicle maintenance costs,To lower fuel consumption rates,To minimize driver distraction risks,To decrease insurance premium rates,C,2,New Jersey prohibits handheld cell phone use because it significantly distracts drivers and increases the risk of accidents by diverting attention from the road.
state,NJ,NJ004,duiStateLaws,What happens to your driving privileges after a first DUI conviction in New Jersey?,You receive a formal warning letter,You must attend traffic school only,Your license is temporarily restricted,Your license is suspended for a period,D,3,A first DUI conviction in New Jersey results in license suspension as part of the penalties designed to deter impaired driving and protect public safety.
state,NJ,NJ005,stateUnique,What must all New Jersey drivers do when approaching a school bus with flashing red lights?,Stop and remain stopped until lights stop,Slow down and proceed with caution,Honk to alert the bus driver,Flash headlights to acknowledge,A,0,New Jersey law requires all drivers to stop when approaching a school bus displaying flashing red lights and remain stopped until the lights are deactivated to protect children boarding or exiting.
state,NJ,NJ006,gdlLicensing,What is required before a New Jersey teen can take the road test for a probationary license?,Completion of a vision test only,Supervised practice driving hours,Purchase of vehicle insurance,Enrollment in college courses,B,1,New Jersey requires teen drivers to complete supervised practice driving hours with a licensed adult before they can take the road test for their probationary license.
state,NJ,NJ007,stateUnique,In New Jersey what color are regulatory signs that indicate speed limits?,Yellow with black text,White with red borders,White with black text,Green with white text,C,2,In New Jersey and throughout the United States regulatory signs including speed limit signs are white with black text to clearly communicate mandatory rules to drivers.
state,NJ,NJ008,duiStateLaws,What device may be required for drivers convicted of DUI in New Jersey?,Speed limiting device,GPS tracking device,Dashboard camera,Ignition interlock device,D,3,New Jersey may require drivers convicted of DUI to install an ignition interlock device which prevents the vehicle from starting if alcohol is detected on the drivers breath.
state,NJ,NJ009,cellPhone,Who is exempt from New Jersey handheld cell phone restrictions while driving?,No one is exempt from the law,Commercial truck drivers only,Drivers over age sixty-five,Off-duty police officers,A,0,New Jersey handheld cell phone laws apply to all drivers without exception as distracted driving poses equal risks regardless of driver category or status.
state,NJ,NJ010,stateUnique,When must New Jersey drivers yield to pedestrians in a crosswalk?,Only when there is a traffic light,Whenever pedestrians are present,Only during school hours,Only if pedestrians wave at you,B,1,New Jersey law requires drivers to yield to pedestrians whenever they are present in a crosswalk regardless of traffic signals or time of day.
state,NJ,NJ011,stateUnique,Why must you check your blind spot before a lane change on NJ highways?,Mirrors show all nearby vehicles,Blind spot checks are optional,Looking over shoulder reveals hidden cars,Only side mirrors are needed,C,2,Checking your blind spot before a lane change is essential because mirrors cannot show vehicles in the area beside and slightly behind your car.
state,NJ,NJ012,stateUnique,When approaching an intersection without signs or signals who has right of way?,The larger vehicle always,The faster moving vehicle,The vehicle turning left,The vehicle on the right,D,3,At uncontrolled intersections in New Jersey the vehicle on the right has right of way which helps establish a predictable order for all drivers.
